"Source","Target","N","nb_cit_Target","nb_cit_Source","Weight"
4543040,3340593,4,8,18,0.333333333333333
4543040,4118422,4,21,18,0.205737799949456
4850876,3340593,4,8,17,0.342997170285018
4850876,4543040,8,18,17,0.457329560380024
5206559,3829231,5,55,68,0.0817587425209661
5301976,5206559,5,68,9,0.202113020863611
5343942,5206559,4,68,10,0.153392997769474
5630592,4202106,4,8,18,0.333333333333333
6010391,4218636,4,12,6,0.471404520791032
6212200,4850876,4,17,4,0.485071250072666
6819608,4118422,4,21,11,0.263180677983908
7308420,4409272,5,7,8,0.668153104781061
7592799,5206559,4,68,48,0.0700140042014005
7948004,4543040,5,18,23,0.245736593591495
8257075,3829231,4,55,51,0.0755254912049361
8257075,3832017,5,12,51,0.202113020863611
9013560,8257075,4,51,6,0.228664780190012
9784288,3829231,4,55,41,0.0842338630285323
9784288,5206559,13,68,41,0.246205056200535
9784288,8257075,7,51,41,0.153080905894243
9784477,5206559,7,68,23,0.177002608098461
9793083,5206559,8,68,8,0.342997170285018
9793723,4218636,4,12,9,0.384900179459751
9793728,9793076,4,5,20,0.4
10094135,8257075,5,51,33,0.121878737354522
10526588,7948004,4,23,11,0.251477845384773
10526626,5635475,4,8,20,0.316227766016838
10526626,6351292,4,17,20,0.216930457818656
10526626,10094135,4,33,20,0.155699788832305
10682331,4543040,5,18,11,0.355334527259351
10682331,4850876,7,17,11,0.511890696888991
11255368,7592799,4,48,12,0.166666666666667
11274817,3555744,4,16,21,0.218217890235992
11431556,4543040,4,18,15,0.243432247780074
11436738,4543040,6,18,11,0.426401432711221
11436738,4850876,8,17,11,0.585017939301705
11436738,10682331,5,11,11,0.454545454545455
11758980,10317940,5,6,6,0.833333333333333
11804826,3227546,5,5,7,0.845154254728517
12130830,9784288,4,41,4,0.312347523777212
12838770,10094135,5,33,39,0.139373668334515
12949704,8257071,4,8,23,0.294883912309794
12949704,8257075,6,51,23,0.175187148742135
12949704,9784288,4,41,23,0.130257921805167
14019388,5206559,8,68,30,0.177122977108019
14603547,12838770,5,39,27,0.154083387840341
15259406,3578552,4,5,7,0.676123403782813
15352517,7720676,4,12,9,0.384900179459751
15593237,4850876,4,17,4,0.485071250072666
15631800,12073369,4,6,5,0.730296743340221
15686441,6207824,4,8,5,0.632455532033676
15862899,3832017,4,12,7,0.436435780471985
15862899,7308420,4,8,7,0.534522483824849
16047464,11255368,4,12,6,0.471404520791032
16061941,11255368,4,12,4,0.577350269189626
16237272,5206559,5,68,12,0.175035010503501
16237272,9784288,4,41,12,0.180333926933486
16238356,5206559,4,68,10,0.153392997769474
16561904,10094135,4,33,9,0.232103541274264
16862907,5206559,5,68,22,0.129271922498755
16862907,11274817,4,21,22,0.186096842079694
