"Id","Annee_mode","Nom_mode","Label"
3001875,1989,"*WORLDBANK","*WORLDBANK,1989"
3002844,1991,"*WORLDBANK","*WORLDBANK,1991"
3016490,1991,"AAKER-D","AAKER-D,1991"
3035137,1985,"ABEGGLEN-J","ABEGGLEN-J,1985"
3084793,1978,"ABERNATHY-W","ABERNATHY-W,1978"
3086908,1983,"ABERNATHY-W","ABERNATHY-W,1983"
3089206,1980,"ABELL-D","ABELL-D,1980"
3097793,1972,"ABRAMOWITZ-M","ABRAMOWITZ-M,1972"
3125378,1981,"ACKERMAN-B","ACKERMAN-B,1981"
3125990,1990,"ACS-Z","ACS-Z,1990"
3130467,1980,"ACKERMAN-B","ACKERMAN-B,1980"
3186060,1991,"ADLER-N","ADLER-N,1991"
3224772,1998,"AGHION-P","AGHION-P,1998"
3231469,1967,"AGUILAR-F","AGUILAR-F,1967"
3239695,1966,"AHARONI-Y","AHARONI-Y,1966"
3271061,1973,"AKAIKE-H","AKAIKE-H,1973"
3286249,1986,"AKERLOF-G","AKERLOF-G,1986"
3290598,1973,"AKAIKE-H","AKAIKE-H,1973"
3318380,1993,"*WORLDBANK","*WORLDBANK,1993"
3339045,1984,"ALDRICH-J","ALDRICH-J,1984"
3344169,1965,"ALDERSON-W","ALDERSON-W,1965"
3346909,1979,"ALDRICH-H","ALDRICH-H,1979"
3359043,1988,"ALDRICH-H","ALDRICH-H,1988"
3367472,1986,"ALDRICH-H","ALDRICH-H,1986"
3404960,1993,"ALI-A","ALI-A,1993"
3406378,1979,"ALLAIS-M","ALLAIS-M,1979"
3412628,1988,"ALLAIS-M","ALLAIS-M,1988"
3420352,1985,"ALLEN-F","ALLEN-F,1985"
3425720,1947,"ALLAIS-M","ALLAIS-M,1947"
3431755,1993,"ALLEN-F","ALLEN-F,1993"
3432527,1994,"ALLEN-F","ALLEN-F,1994"
3440277,1977,"ALLEN-T","ALLEN-T,1977"
3442931,1971,"ALLISON-G","ALLISON-G,1971"
3442976,1982,"ALLISON-P","ALLISON-P,1982"
3442981,1984,"ALLISON-P","ALLISON-P,1984"
3462153,1993,"ALTER-C","ALTER-C,1993"
3463547,1983,"ALTMAN-E","ALTMAN-E,1983"
3539914,1985,"AMEMIYA-T","AMEMIYA-T,1985"
3542178,1989,"AMSDEN-A","AMSDEN-A,1989"
3555744,1958,"ANDERSON-T","ANDERSON-T,1958"
3563669,1979,"ANDERSON-B","ANDERSON-B,1979"
3573350,1994,"AMIHUD-Y","AMIHUD-Y,1994"
3587998,1971,"ANDREWS-K","ANDREWS-K,1971"
3594009,1985,"AMIHUD-Y","AMIHUD-Y,1985"
3604771,1986,"ANDERSON-C","ANDERSON-C,1986"
3644004,1988,"AMIHUD-Y","AMIHUD-Y,1988"
3698862,1965,"ANSOFF-H","ANSOFF-H,1965"
3717160,1988,"AOKI-M","AOKI-M,1988"
3717177,1990,"AOKI-M","AOKI-M,1990"
3717887,1984,"AOKI-M","AOKI-M,1984"
3717888,1984,"AOKI-M","AOKI-M,1984"
3729917,1994,"AOKI-M","AOKI-M,1994"
3752958,1983,"ARAM-J","ARAM-J,1983"
3782363,1978,"ARGYRIS-C","ARGYRIS-C,1978"
3787698,1974,"ARGYRIS-C","ARGYRIS-C,1974"
3806260,1992,"ARLEN-J","ARLEN-J,1992"
3812715,1970,"ARROW-K","ARROW-K,1970"
3812718,1974,"ARROW-K","ARROW-K,1974"
3827284,1972,"ARONSON-E","ARONSON-E,1972"
3829220,1963,"ARROW-K","ARROW-K,1963"
3829231,1971,"ARROW-K","ARROW-K,1971"
3829279,1985,"ARROW-K","ARROW-K,1985"
